rank,pokemon_name,type,total_power,hit_points,attack,defense,special_attack,special_defense,speed,icon,details_link,last_updated_at_UTC
212,Scizor,"Bug,Steel",500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,https://pokemondb.net/pokedex/scizor,05-Dec-2021 05:46:36
212,Scizor-Mega Scizor,"Bug,Steel",600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png,https://pokemondb.net/pokedex/scizor,05-Dec-2021 05:46:36
213,Shuckle,"Bug,Rock",505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,https://pokemondb.net/pokedex/shuckle,05-Dec-2021 05:46:36
214,Heracross,"Bug,Fighting",500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png,https://pokemondb.net/pokedex/heracross,05-Dec-2021 05:46:36
214,Heracross-Mega Heracross,"Bug,Fighting",600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png,https://pokemondb.net/pokedex/heracross,05-Dec-2021 05:46:36
215,Sneasel,"Dark,Ice",430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,https://pokemondb.net/pokedex/sneasel,05-Dec-2021 05:46:36
216,Teddiursa,Normal,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,https://pokemondb.net/pokedex/teddiursa,05-Dec-2021 05:46:36
217,Ursaring,Normal,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,https://pokemondb.net/pokedex/ursaring,05-Dec-2021 05:46:36
218,Slugma,Fire,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,https://pokemondb.net/pokedex/slugma,05-Dec-2021 05:46:36
219,Magcargo,"Fire,Rock",430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,https://pokemondb.net/pokedex/magcargo,05-Dec-2021 05:46:36
220,Swinub,"Ice,Ground",250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,https://pokemondb.net/pokedex/swinub,05-Dec-2021 05:46:36
221,Piloswine,"Ice,Ground",450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,https://pokemondb.net/pokedex/piloswine,05-Dec-2021 05:46:36
222,Corsola,"Water,Rock",410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,https://pokemondb.net/pokedex/corsola,05-Dec-2021 05:46:36
222,Corsola-Galarian Corsola,Ghost,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,https://pokemondb.net/pokedex/corsola,05-Dec-2021 05:46:36
223,Remoraid,Water,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,https://pokemondb.net/pokedex/remoraid,05-Dec-2021 05:46:36
224,Octillery,Water,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,https://pokemondb.net/pokedex/octillery,05-Dec-2021 05:46:36
225,Delibird,"Ice,Flying",330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,https://pokemondb.net/pokedex/delibird,05-Dec-2021 05:46:36
226,Mantine,"Water,Flying",485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,https://pokemondb.net/pokedex/mantine,05-Dec-2021 05:46:36
227,Skarmory,"Steel,Flying",465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,https://pokemondb.net/pokedex/skarmory,05-Dec-2021 05:46:36
228,Houndour,"Dark,Fire",330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,https://pokemondb.net/pokedex/houndour,05-Dec-2021 05:46:36
229,Houndoom,"Dark,Fire",500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png,https://pokemondb.net/pokedex/houndoom,05-Dec-2021 05:46:36
229,Houndoom-Mega Houndoom,"Dark,Fire",600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png,https://pokemondb.net/pokedex/houndoom,05-Dec-2021 05:46:36
230,Kingdra,"Water,Dragon",540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png,https://pokemondb.net/pokedex/kingdra,05-Dec-2021 05:46:36
231,Phanpy,Ground,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png,https://pokemondb.net/pokedex/phanpy,05-Dec-2021 05:46:36
232,Donphan,Ground,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png,https://pokemondb.net/pokedex/donphan,05-Dec-2021 05:46:36
233,Porygon2,Normal,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png,https://pokemondb.net/pokedex/porygon2,05-Dec-2021 05:46:36
234,Stantler,Normal,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png,https://pokemondb.net/pokedex/stantler,05-Dec-2021 05:46:36
235,Smeargle,Normal,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png,https://pokemondb.net/pokedex/smeargle,05-Dec-2021 05:46:36
236,Tyrogue,Fighting,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,https://pokemondb.net/pokedex/tyrogue,05-Dec-2021 05:46:36
237,Hitmontop,Fighting,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,https://pokemondb.net/pokedex/hitmontop,05-Dec-2021 05:46:36
238,Smoochum,"Ice,Psychic",305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,https://pokemondb.net/pokedex/smoochum,05-Dec-2021 05:46:36
239,Elekid,Electric,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,https://pokemondb.net/pokedex/elekid,05-Dec-2021 05:46:36
240,Magby,Fire,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,https://pokemondb.net/pokedex/magby,05-Dec-2021 05:46:36
241,Miltank,Normal,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png,https://pokemondb.net/pokedex/miltank,05-Dec-2021 05:46:36
242,Blissey,Normal,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,https://pokemondb.net/pokedex/blissey,05-Dec-2021 05:46:36
243,Raikou,Electric,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png,https://pokemondb.net/pokedex/raikou,05-Dec-2021 05:46:36
244,Entei,Fire,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png,https://pokemondb.net/pokedex/entei,05-Dec-2021 05:46:36
245,Suicune,Water,580,100,75,115,90,115,85,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png,https://pokemondb.net/pokedex/suicune,05-Dec-2021 05:46:36
246,Larvitar,"Rock,Ground",300,50,64,50,45,50,41,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png,https://pokemondb.net/pokedex/larvitar,05-Dec-2021 05:46:36
247,Pupitar,"Rock,Ground",410,70,84,70,65,70,51,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png,https://pokemondb.net/pokedex/pupitar,05-Dec-2021 05:46:36
248,Tyranitar,"Rock,Dark",600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,https://pokemondb.net/pokedex/tyranitar,05-Dec-2021 05:46:36
248,Tyranitar-Mega Tyranitar,"Rock,Dark",700,100,164,150,95,120,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png,https://pokemondb.net/pokedex/tyranitar,05-Dec-2021 05:46:36
249,Lugia,"Psychic,Flying",680,106,90,130,90,154,110,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png,https://pokemondb.net/pokedex/lugia,05-Dec-2021 05:46:36
250,Ho-oh,"Fire,Flying",680,106,130,90,110,154,90,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png,https://pokemondb.net/pokedex/ho-oh,05-Dec-2021 05:46:36
251,Celebi,"Psychic,Grass",600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png,https://pokemondb.net/pokedex/celebi,05-Dec-2021 05:46:36
252,Treecko,Grass,310,40,45,35,65,55,70,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png,https://pokemondb.net/pokedex/treecko,05-Dec-2021 05:46:36
253,Grovyle,Grass,405,50,65,45,85,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png,https://pokemondb.net/pokedex/grovyle,05-Dec-2021 05:46:36
254,Sceptile,Grass,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,https://pokemondb.net/pokedex/sceptile,05-Dec-2021 05:46:36
254,Sceptile-Mega Sceptile,"Grass,Dragon",630,70,110,75,145,85,145,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png,https://pokemondb.net/pokedex/sceptile,05-Dec-2021 05:46:36
255,Torchic,Fire,310,45,60,40,70,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png,https://pokemondb.net/pokedex/torchic,05-Dec-2021 05:46:36
256,Combusken,"Fire,Fighting",405,60,85,60,85,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png,https://pokemondb.net/pokedex/combusken,05-Dec-2021 05:46:36
257,Blaziken,"Fire,Fighting",530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,https://pokemondb.net/pokedex/blaziken,05-Dec-2021 05:46:36
257,Blaziken-Mega Blaziken,"Fire,Fighting",630,80,160,80,130,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png,https://pokemondb.net/pokedex/blaziken,05-Dec-2021 05:46:36
258,Mudkip,Water,310,50,70,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png,https://pokemondb.net/pokedex/mudkip,05-Dec-2021 05:46:36
259,Marshtomp,"Water,Ground",405,70,85,70,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png,https://pokemondb.net/pokedex/marshtomp,05-Dec-2021 05:46:36
260,Swampert,"Water,Ground",535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,https://pokemondb.net/pokedex/swampert,05-Dec-2021 05:46:36
260,Swampert-Mega Swampert,"Water,Ground",635,100,150,110,95,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png,https://pokemondb.net/pokedex/swampert,05-Dec-2021 05:46:36
261,Poochyena,Dark,220,35,55,35,30,30,35,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png,https://pokemondb.net/pokedex/poochyena,05-Dec-2021 05:46:36
262,Mightyena,Dark,420,70,90,70,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png,https://pokemondb.net/pokedex/mightyena,05-Dec-2021 05:46:36
263,Zigzagoon,Normal,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png,https://pokemondb.net/pokedex/zigzagoon,05-Dec-2021 05:46:36
263,Zigzagoon-Galarian Zigzagoon,"Dark,Normal",240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png,https://pokemondb.net/pokedex/zigzagoon,05-Dec-2021 05:46:36
264,Linoone,Normal,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png,https://pokemondb.net/pokedex/linoone,05-Dec-2021 05:46:36
264,Linoone-Galarian Linoone,"Dark,Normal",420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png,https://pokemondb.net/pokedex/linoone,05-Dec-2021 05:46:36
265,Wurmple,Bug,195,45,45,35,20,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png,https://pokemondb.net/pokedex/wurmple,05-Dec-2021 05:46:36
266,Silcoon,Bug,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png,https://pokemondb.net/pokedex/silcoon,05-Dec-2021 05:46:36
267,Beautifly,"Bug,Flying",395,60,70,50,100,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png,https://pokemondb.net/pokedex/beautifly,05-Dec-2021 05:46:36
268,Cascoon,Bug,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png,https://pokemondb.net/pokedex/cascoon,05-Dec-2021 05:46:36
269,Dustox,"Bug,Poison",385,60,50,70,50,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png,https://pokemondb.net/pokedex/dustox,05-Dec-2021 05:46:36
270,Lotad,"Water,Grass",220,40,30,30,40,50,30,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png,https://pokemondb.net/pokedex/lotad,05-Dec-2021 05:46:36
271,Lombre,"Water,Grass",340,60,50,50,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png,https://pokemondb.net/pokedex/lombre,05-Dec-2021 05:46:36
272,Ludicolo,"Water,Grass",480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,https://pokemondb.net/pokedex/ludicolo,05-Dec-2021 05:46:36
273,Seedot,Grass,220,40,40,50,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png,https://pokemondb.net/pokedex/seedot,05-Dec-2021 05:46:36
274,Nuzleaf,"Grass,Dark",340,70,70,40,60,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png,https://pokemondb.net/pokedex/nuzleaf,05-Dec-2021 05:46:36
275,Shiftry,"Grass,Dark",480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,https://pokemondb.net/pokedex/shiftry,05-Dec-2021 05:46:36
276,Taillow,"Normal,Flying",270,40,55,30,30,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png,https://pokemondb.net/pokedex/taillow,05-Dec-2021 05:46:36
277,Swellow,"Normal,Flying",455,60,85,60,75,50,125,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png,https://pokemondb.net/pokedex/swellow,05-Dec-2021 05:46:36
278,Wingull,"Water,Flying",270,40,30,30,55,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png,https://pokemondb.net/pokedex/wingull,05-Dec-2021 05:46:36
279,Pelipper,"Water,Flying",440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,https://pokemondb.net/pokedex/pelipper,05-Dec-2021 05:46:36
280,Ralts,"Psychic,Fairy",198,28,25,25,45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png,https://pokemondb.net/pokedex/ralts,05-Dec-2021 05:46:36
281,Kirlia,"Psychic,Fairy",278,38,35,35,65,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png,https://pokemondb.net/pokedex/kirlia,05-Dec-2021 05:46:36
282,Gardevoir,"Psychic,Fairy",518,68,65,65,125,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png,https://pokemondb.net/pokedex/gardevoir,05-Dec-2021 05:46:36
282,Gardevoir-Mega Gardevoir,"Psychic,Fairy",618,68,85,65,165,135,100,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png,https://pokemondb.net/pokedex/gardevoir,05-Dec-2021 05:46:36
283,Surskit,"Bug,Water",269,40,30,32,50,52,65,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png,https://pokemondb.net/pokedex/surskit,05-Dec-2021 05:46:36
284,Masquerain,"Bug,Flying",454,70,60,62,100,82,80,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png,https://pokemondb.net/pokedex/masquerain,05-Dec-2021 05:46:36
285,Shroomish,Grass,295,60,40,60,40,60,35,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png,https://pokemondb.net/pokedex/shroomish,05-Dec-2021 05:46:36
286,Breloom,"Grass,Fighting",460,60,130,80,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png,https://pokemondb.net/pokedex/breloom,05-Dec-2021 05:46:36
287,Slakoth,Normal,280,60,60,60,35,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png,https://pokemondb.net/pokedex/slakoth,05-Dec-2021 05:46:36
288,Vigoroth,Normal,440,80,80,80,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png,https://pokemondb.net/pokedex/vigoroth,05-Dec-2021 05:46:36
289,Slaking,Normal,670,150,160,100,95,65,100,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png,https://pokemondb.net/pokedex/slaking,05-Dec-2021 05:46:36
290,Nincada,"Bug,Ground",266,31,45,90,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png,https://pokemondb.net/pokedex/nincada,05-Dec-2021 05:46:36
291,Ninjask,"Bug,Flying",456,61,90,45,50,50,160,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png,https://pokemondb.net/pokedex/ninjask,05-Dec-2021 05:46:36
292,Shedinja,"Bug,Ghost",236,1,90,45,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png,https://pokemondb.net/pokedex/shedinja,05-Dec-2021 05:46:36
293,Whismur,Normal,240,64,51,23,51,23,28,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png,https://pokemondb.net/pokedex/whismur,05-Dec-2021 05:46:36
294,Loudred,Normal,360,84,71,43,71,43,48,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png,https://pokemondb.net/pokedex/loudred,05-Dec-2021 05:46:36
295,Exploud,Normal,490,104,91,63,91,73,68,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png,https://pokemondb.net/pokedex/exploud,05-Dec-2021 05:46:36
296,Makuhita,Fighting,237,72,60,30,20,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png,https://pokemondb.net/pokedex/makuhita,05-Dec-2021 05:46:36
297,Hariyama,Fighting,474,144,120,60,40,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png,https://pokemondb.net/pokedex/hariyama,05-Dec-2021 05:46:36
298,Azurill,"Normal,Fairy",190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,https://pokemondb.net/pokedex/azurill,05-Dec-2021 05:46:36
299,Nosepass,Rock,375,30,45,135,45,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png,https://pokemondb.net/pokedex/nosepass,05-Dec-2021 05:46:36
300,Skitty,Normal,260,50,45,45,35,35,50,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png,https://pokemondb.net/pokedex/skitty,05-Dec-2021 05:46:36
301,Delcatty,Normal,400,70,65,65,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png,https://pokemondb.net/pokedex/delcatty,05-Dec-2021 05:46:36
302,Sableye,"Dark,Ghost",380,50,75,75,65,65,50,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png,https://pokemondb.net/pokedex/sableye,05-Dec-2021 05:46:36
302,Sableye-Mega Sableye,"Dark,Ghost",480,50,85,125,85,115,20,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png,https://pokemondb.net/pokedex/sableye,05-Dec-2021 05:46:36
303,Mawile,"Steel,Fairy",380,50,85,85,55,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png,https://pokemondb.net/pokedex/mawile,05-Dec-2021 05:46:36
303,Mawile-Mega Mawile,"Steel,Fairy",480,50,105,125,55,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png,https://pokemondb.net/pokedex/mawile,05-Dec-2021 05:46:36
304,Aron,"Steel,Rock",330,50,70,100,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png,https://pokemondb.net/pokedex/aron,05-Dec-2021 05:46:36
305,Lairon,"Steel,Rock",430,60,90,140,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png,https://pokemondb.net/pokedex/lairon,05-Dec-2021 05:46:36
306,Aggron,"Steel,Rock",530,70,110,180,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png,https://pokemondb.net/pokedex/aggron,05-Dec-2021 05:46:36
306,Aggron-Mega Aggron,Steel,630,70,140,230,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png,https://pokemondb.net/pokedex/aggron,05-Dec-2021 05:46:36
307,Meditite,"Fighting,Psychic",280,30,40,55,40,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png,https://pokemondb.net/pokedex/meditite,05-Dec-2021 05:46:36
308,Medicham,"Fighting,Psychic",410,60,60,75,60,75,80,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png,https://pokemondb.net/pokedex/medicham,05-Dec-2021 05:46:36
308,Medicham-Mega Medicham,"Fighting,Psychic",510,60,100,85,80,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png,https://pokemondb.net/pokedex/medicham,05-Dec-2021 05:46:36
309,Electrike,Electric,295,40,45,40,65,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png,https://pokemondb.net/pokedex/electrike,05-Dec-2021 05:46:36
310,Manectric,Electric,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png,https://pokemondb.net/pokedex/manectric,05-Dec-2021 05:46:36
310,Manectric-Mega Manectric,Electric,575,70,75,80,135,80,135,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png,https://pokemondb.net/pokedex/manectric,05-Dec-2021 05:46:36
311,Plusle,Electric,405,60,50,40,85,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png,https://pokemondb.net/pokedex/plusle,05-Dec-2021 05:46:36
312,Minun,Electric,405,60,40,50,75,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png,https://pokemondb.net/pokedex/minun,05-Dec-2021 05:46:36
313,Volbeat,Bug,430,65,73,75,47,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png,https://pokemondb.net/pokedex/volbeat,05-Dec-2021 05:46:36
314,Illumise,Bug,430,65,47,75,73,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png,https://pokemondb.net/pokedex/illumise,05-Dec-2021 05:46:36
315,Roselia,"Grass,Poison",400,50,60,45,100,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png,https://pokemondb.net/pokedex/roselia,05-Dec-2021 05:46:36
316,Gulpin,Poison,302,70,43,53,43,53,40,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png,https://pokemondb.net/pokedex/gulpin,05-Dec-2021 05:46:36
317,Swalot,Poison,467,100,73,83,73,83,55,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png,https://pokemondb.net/pokedex/swalot,05-Dec-2021 05:46:36
318,Carvanha,"Water,Dark",305,45,90,20,65,20,65,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png,https://pokemondb.net/pokedex/carvanha,05-Dec-2021 05:46:36
319,Sharpedo,"Water,Dark",460,70,120,40,95,40,95,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png,https://pokemondb.net/pokedex/sharpedo,05-Dec-2021 05:46:36
319,Sharpedo-Mega Sharpedo,"Water,Dark",560,70,140,70,110,65,105,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png,https://pokemondb.net/pokedex/sharpedo,05-Dec-2021 05:46:36
320,Wailmer,Water,400,130,70,35,70,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png,https://pokemondb.net/pokedex/wailmer,05-Dec-2021 05:46:36
321,Wailord,Water,500,170,90,45,90,45,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png,https://pokemondb.net/pokedex/wailord,05-Dec-2021 05:46:36
322,Numel,"Fire,Ground",305,60,60,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png,https://pokemondb.net/pokedex/numel,05-Dec-2021 05:46:36
323,Camerupt,"Fire,Ground",460,70,100,70,105,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png,https://pokemondb.net/pokedex/camerupt,05-Dec-2021 05:46:36
323,Camerupt-Mega Camerupt,"Fire,Ground",560,70,120,100,145,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png,https://pokemondb.net/pokedex/camerupt,05-Dec-2021 05:46:36
324,Torkoal,Fire,470,70,85,140,85,70,20,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png,https://pokemondb.net/pokedex/torkoal,05-Dec-2021 05:46:36
325,Spoink,Psychic,330,60,25,35,70,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png,https://pokemondb.net/pokedex/spoink,05-Dec-2021 05:46:36
326,Grumpig,Psychic,470,80,45,65,90,110,80,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png,https://pokemondb.net/pokedex/grumpig,05-Dec-2021 05:46:36
327,Spinda,Normal,360,60,60,60,60,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png,https://pokemondb.net/pokedex/spinda,05-Dec-2021 05:46:36
328,Trapinch,Ground,290,45,100,45,45,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png,https://pokemondb.net/pokedex/trapinch,05-Dec-2021 05:46:36
329,Vibrava,"Ground,Dragon",340,50,70,50,50,50,70,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png,https://pokemondb.net/pokedex/vibrava,05-Dec-2021 05:46:36
330,Flygon,"Ground,Dragon",520,80,100,80,80,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png,https://pokemondb.net/pokedex/flygon,05-Dec-2021 05:46:36
331,Cacnea,Grass,335,50,85,40,85,40,35,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png,https://pokemondb.net/pokedex/cacnea,05-Dec-2021 05:46:36
332,Cacturne,"Grass,Dark",475,70,115,60,115,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png,https://pokemondb.net/pokedex/cacturne,05-Dec-2021 05:46:36
333,Swablu,"Normal,Flying",310,45,40,60,40,75,50,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png,https://pokemondb.net/pokedex/swablu,05-Dec-2021 05:46:36
334,Altaria,"Dragon,Flying",490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png,https://pokemondb.net/pokedex/altaria,05-Dec-2021 05:46:36
334,Altaria-Mega Altaria,"Dragon,Fairy",590,75,110,110,110,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png,https://pokemondb.net/pokedex/altaria,05-Dec-2021 05:46:36
335,Zangoose,Normal,458,73,115,60,60,60,90,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png,https://pokemondb.net/pokedex/zangoose,05-Dec-2021 05:46:36
336,Seviper,Poison,458,73,100,60,100,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png,https://pokemondb.net/pokedex/seviper,05-Dec-2021 05:46:36
