rank,name,types,total_power,hit_points,attack,defense,special_attack,special_defense,speed,icon_url,details_url,scrape_ts
0212,Mega Scizor,"Bug, Steel",600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor-mega.png,https://pokemondb.net/pokedex/scizor,2024-02-24 15:05:21
0213,Shuckle,"Bug, Rock",505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shuckle.png,https://pokemondb.net/pokedex/shuckle,2024-02-24 15:05:21
0214,Heracross,"Bug, Fighting",500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross.png,https://pokemondb.net/pokedex/heracross,2024-02-24 15:05:21
0214,Mega Heracross,"Bug, Fighting",600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross-mega.png,https://pokemondb.net/pokedex/heracross,2024-02-24 15:05:21
0215,Sneasel,"Dark, Ice",430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel.png,https://pokemondb.net/pokedex/sneasel,2024-02-24 15:05:21
0215,Hisuian Sneasel,"Fighting, Poison",430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel-hisuian.png,https://pokemondb.net/pokedex/sneasel,2024-02-24 15:05:21
0216,Teddiursa,Normal,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/teddiursa.png,https://pokemondb.net/pokedex/teddiursa,2024-02-24 15:05:21
0217,Ursaring,Normal,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ursaring.png,https://pokemondb.net/pokedex/ursaring,2024-02-24 15:05:21
0218,Slugma,Fire,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/slugma.png,https://pokemondb.net/pokedex/slugma,2024-02-24 15:05:21
0219,Magcargo,"Fire, Rock",430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/magcargo.png,https://pokemondb.net/pokedex/magcargo,2024-02-24 15:05:21
0220,Swinub,"Ice, Ground",250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/swinub.png,https://pokemondb.net/pokedex/swinub,2024-02-24 15:05:21
0221,Piloswine,"Ice, Ground",450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/piloswine.png,https://pokemondb.net/pokedex/piloswine,2024-02-24 15:05:21
0222,Corsola,"Water, Rock",410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola.png,https://pokemondb.net/pokedex/corsola,2024-02-24 15:05:21
0222,Galarian Corsola,Ghost,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola-galarian.png,https://pokemondb.net/pokedex/corsola,2024-02-24 15:05:21
0223,Remoraid,Water,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/remoraid.png,https://pokemondb.net/pokedex/remoraid,2024-02-24 15:05:21
0224,Octillery,Water,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/octillery.png,https://pokemondb.net/pokedex/octillery,2024-02-24 15:05:21
0225,Delibird,"Ice, Flying",330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/delibird.png,https://pokemondb.net/pokedex/delibird,2024-02-24 15:05:21
0226,Mantine,"Water, Flying",485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/mantine.png,https://pokemondb.net/pokedex/mantine,2024-02-24 15:05:21
0227,Skarmory,"Steel, Flying",465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/skarmory.png,https://pokemondb.net/pokedex/skarmory,2024-02-24 15:05:21
0228,Houndour,"Dark, Fire",330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndour.png,https://pokemondb.net/pokedex/houndour,2024-02-24 15:05:21
0229,Houndoom,"Dark, Fire",500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom.png,https://pokemondb.net/pokedex/houndoom,2024-02-24 15:05:21
0229,Mega Houndoom,"Dark, Fire",600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom-mega.png,https://pokemondb.net/pokedex/houndoom,2024-02-24 15:05:21
0230,Kingdra,"Water, Dragon",540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingdra.png,https://pokemondb.net/pokedex/kingdra,2024-02-24 15:05:21
0231,Phanpy,Ground,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/phanpy.png,https://pokemondb.net/pokedex/phanpy,2024-02-24 15:05:21
0232,Donphan,Ground,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/donphan.png,https://pokemondb.net/pokedex/donphan,2024-02-24 15:05:21
0233,Porygon2,Normal,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon2.png,https://pokemondb.net/pokedex/porygon2,2024-02-24 15:05:21
0234,Stantler,Normal,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/stantler.png,https://pokemondb.net/pokedex/stantler,2024-02-24 15:05:21
0235,Smeargle,Normal,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/smeargle.png,https://pokemondb.net/pokedex/smeargle,2024-02-24 15:05:21
0236,Tyrogue,Fighting,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrogue.png,https://pokemondb.net/pokedex/tyrogue,2024-02-24 15:05:21
0237,Hitmontop,Fighting,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmontop.png,https://pokemondb.net/pokedex/hitmontop,2024-02-24 15:05:21
0238,Smoochum,"Ice, Psychic",305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/smoochum.png,https://pokemondb.net/pokedex/smoochum,2024-02-24 15:05:21
0239,Elekid,Electric,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/elekid.png,https://pokemondb.net/pokedex/elekid,2024-02-24 15:05:21
0240,Magby,Fire,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/scarlet-violet/icon/magby.png,https://pokemondb.net/pokedex/magby,2024-02-24 15:05:21
0241,Miltank,Normal,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/miltank.png,https://pokemondb.net/pokedex/miltank,2024-02-24 15:05:21
0242,Blissey,Normal,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/blissey.png,https://pokemondb.net/pokedex/blissey,2024-02-24 15:05:21
0243,Raikou,Electric,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/raikou.png,https://pokemondb.net/pokedex/raikou,2024-02-24 15:05:21
0244,Entei,Fire,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/entei.png,https://pokemondb.net/pokedex/entei,2024-02-24 15:05:21
0245,Suicune,Water,580,100,75,115,90,115,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/suicune.png,https://pokemondb.net/pokedex/suicune,2024-02-24 15:05:21
0246,Larvitar,"Rock, Ground",300,50,64,50,45,50,41,https://img.pokemondb.net/sprites/scarlet-violet/icon/larvitar.png,https://pokemondb.net/pokedex/larvitar,2024-02-24 15:05:21
0247,Pupitar,"Rock, Ground",410,70,84,70,65,70,51,https://img.pokemondb.net/sprites/scarlet-violet/icon/pupitar.png,https://pokemondb.net/pokedex/pupitar,2024-02-24 15:05:21
0248,Tyranitar,"Rock, Dark",600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar.png,https://pokemondb.net/pokedex/tyranitar,2024-02-24 15:05:21
0248,Mega Tyranitar,"Rock, Dark",700,100,164,150,95,120,71,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar-mega.png,https://pokemondb.net/pokedex/tyranitar,2024-02-24 15:05:21
0249,Lugia,"Psychic, Flying",680,106,90,130,90,154,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/lugia.png,https://pokemondb.net/pokedex/lugia,2024-02-24 15:05:21
0250,Ho-oh,"Fire, Flying",680,106,130,90,110,154,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/ho-oh.png,https://pokemondb.net/pokedex/ho-oh,2024-02-24 15:05:21
0251,Celebi,"Psychic, Grass",600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/celebi.png,https://pokemondb.net/pokedex/celebi,2024-02-24 15:05:21
0252,Treecko,Grass,310,40,45,35,65,55,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/treecko.png,https://pokemondb.net/pokedex/treecko,2024-02-24 15:05:21
0253,Grovyle,Grass,405,50,65,45,85,65,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/grovyle.png,https://pokemondb.net/pokedex/grovyle,2024-02-24 15:05:21
0254,Sceptile,Grass,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile.png,https://pokemondb.net/pokedex/sceptile,2024-02-24 15:05:21
0254,Mega Sceptile,"Grass, Dragon",630,70,110,75,145,85,145,https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile-mega.png,https://pokemondb.net/pokedex/sceptile,2024-02-24 15:05:21
0255,Torchic,Fire,310,45,60,40,70,50,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/torchic.png,https://pokemondb.net/pokedex/torchic,2024-02-24 15:05:21
0256,Combusken,"Fire, Fighting",405,60,85,60,85,60,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/combusken.png,https://pokemondb.net/pokedex/combusken,2024-02-24 15:05:21
0257,Blaziken,"Fire, Fighting",530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken.png,https://pokemondb.net/pokedex/blaziken,2024-02-24 15:05:21
0257,Mega Blaziken,"Fire, Fighting",630,80,160,80,130,80,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken-mega.png,https://pokemondb.net/pokedex/blaziken,2024-02-24 15:05:21
0258,Mudkip,Water,310,50,70,50,50,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/mudkip.png,https://pokemondb.net/pokedex/mudkip,2024-02-24 15:05:21
0259,Marshtomp,"Water, Ground",405,70,85,70,60,70,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/marshtomp.png,https://pokemondb.net/pokedex/marshtomp,2024-02-24 15:05:21
0260,Swampert,"Water, Ground",535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert.png,https://pokemondb.net/pokedex/swampert,2024-02-24 15:05:21
0260,Mega Swampert,"Water, Ground",635,100,150,110,95,110,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert-mega.png,https://pokemondb.net/pokedex/swampert,2024-02-24 15:05:21
0261,Poochyena,Dark,220,35,55,35,30,30,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/poochyena.png,https://pokemondb.net/pokedex/poochyena,2024-02-24 15:05:21
0262,Mightyena,Dark,420,70,90,70,60,60,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/mightyena.png,https://pokemondb.net/pokedex/mightyena,2024-02-24 15:05:21
0263,Zigzagoon,Normal,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon.png,https://pokemondb.net/pokedex/zigzagoon,2024-02-24 15:05:21
0263,Galarian Zigzagoon,"Dark, Normal",240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon-galarian.png,https://pokemondb.net/pokedex/zigzagoon,2024-02-24 15:05:21
0264,Linoone,Normal,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone.png,https://pokemondb.net/pokedex/linoone,2024-02-24 15:05:21
0264,Galarian Linoone,"Dark, Normal",420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone-galarian.png,https://pokemondb.net/pokedex/linoone,2024-02-24 15:05:21
0265,Wurmple,Bug,195,45,45,35,20,30,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/wurmple.png,https://pokemondb.net/pokedex/wurmple,2024-02-24 15:05:21
0266,Silcoon,Bug,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/silcoon.png,https://pokemondb.net/pokedex/silcoon,2024-02-24 15:05:21
0267,Beautifly,"Bug, Flying",395,60,70,50,100,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/beautifly.png,https://pokemondb.net/pokedex/beautifly,2024-02-24 15:05:21
0268,Cascoon,Bug,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/cascoon.png,https://pokemondb.net/pokedex/cascoon,2024-02-24 15:05:21
0269,Dustox,"Bug, Poison",385,60,50,70,50,90,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/dustox.png,https://pokemondb.net/pokedex/dustox,2024-02-24 15:05:21
0270,Lotad,"Water, Grass",220,40,30,30,40,50,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/lotad.png,https://pokemondb.net/pokedex/lotad,2024-02-24 15:05:21
0271,Lombre,"Water, Grass",340,60,50,50,60,70,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/lombre.png,https://pokemondb.net/pokedex/lombre,2024-02-24 15:05:21
0272,Ludicolo,"Water, Grass",480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/ludicolo.png,https://pokemondb.net/pokedex/ludicolo,2024-02-24 15:05:21
0273,Seedot,Grass,220,40,40,50,30,30,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/seedot.png,https://pokemondb.net/pokedex/seedot,2024-02-24 15:05:21
0274,Nuzleaf,"Grass, Dark",340,70,70,40,60,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/nuzleaf.png,https://pokemondb.net/pokedex/nuzleaf,2024-02-24 15:05:21
0275,Shiftry,"Grass, Dark",480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/shiftry.png,https://pokemondb.net/pokedex/shiftry,2024-02-24 15:05:21
0276,Taillow,"Normal, Flying",270,40,55,30,30,30,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/taillow.png,https://pokemondb.net/pokedex/taillow,2024-02-24 15:05:21
0277,Swellow,"Normal, Flying",455,60,85,60,75,50,125,https://img.pokemondb.net/sprites/scarlet-violet/icon/swellow.png,https://pokemondb.net/pokedex/swellow,2024-02-24 15:05:21
0278,Wingull,"Water, Flying",270,40,30,30,55,30,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/wingull.png,https://pokemondb.net/pokedex/wingull,2024-02-24 15:05:21
0279,Pelipper,"Water, Flying",440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/pelipper.png,https://pokemondb.net/pokedex/pelipper,2024-02-24 15:05:21
0280,Ralts,"Psychic, Fairy",198,28,25,25,45,35,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/ralts.png,https://pokemondb.net/pokedex/ralts,2024-02-24 15:05:21
0281,Kirlia,"Psychic, Fairy",278,38,35,35,65,55,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/kirlia.png,https://pokemondb.net/pokedex/kirlia,2024-02-24 15:05:21
0282,Gardevoir,"Psychic, Fairy",518,68,65,65,125,115,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir.png,https://pokemondb.net/pokedex/gardevoir,2024-02-24 15:05:21
0282,Mega Gardevoir,"Psychic, Fairy",618,68,85,65,165,135,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir-mega.png,https://pokemondb.net/pokedex/gardevoir,2024-02-24 15:05:21
0283,Surskit,"Bug, Water",269,40,30,32,50,52,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/surskit.png,https://pokemondb.net/pokedex/surskit,2024-02-24 15:05:21
0284,Masquerain,"Bug, Flying",454,70,60,62,100,82,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/masquerain.png,https://pokemondb.net/pokedex/masquerain,2024-02-24 15:05:21
0285,Shroomish,Grass,295,60,40,60,40,60,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/shroomish.png,https://pokemondb.net/pokedex/shroomish,2024-02-24 15:05:21
0286,Breloom,"Grass, Fighting",460,60,130,80,60,60,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/breloom.png,https://pokemondb.net/pokedex/breloom,2024-02-24 15:05:21
0287,Slakoth,Normal,280,60,60,60,35,35,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slakoth.png,https://pokemondb.net/pokedex/slakoth,2024-02-24 15:05:21
0288,Vigoroth,Normal,440,80,80,80,55,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/vigoroth.png,https://pokemondb.net/pokedex/vigoroth,2024-02-24 15:05:21
0289,Slaking,Normal,670,150,160,100,95,65,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/slaking.png,https://pokemondb.net/pokedex/slaking,2024-02-24 15:05:21
0290,Nincada,"Bug, Ground",266,31,45,90,30,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/nincada.png,https://pokemondb.net/pokedex/nincada,2024-02-24 15:05:21
0291,Ninjask,"Bug, Flying",456,61,90,45,50,50,160,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninjask.png,https://pokemondb.net/pokedex/ninjask,2024-02-24 15:05:21
0292,Shedinja,"Bug, Ghost",236,1,90,45,30,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/shedinja.png,https://pokemondb.net/pokedex/shedinja,2024-02-24 15:05:21
0293,Whismur,Normal,240,64,51,23,51,23,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/whismur.png,https://pokemondb.net/pokedex/whismur,2024-02-24 15:05:21
0294,Loudred,Normal,360,84,71,43,71,43,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/loudred.png,https://pokemondb.net/pokedex/loudred,2024-02-24 15:05:21
0295,Exploud,Normal,490,104,91,63,91,73,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/exploud.png,https://pokemondb.net/pokedex/exploud,2024-02-24 15:05:21
0296,Makuhita,Fighting,237,72,60,30,20,30,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/makuhita.png,https://pokemondb.net/pokedex/makuhita,2024-02-24 15:05:21
0297,Hariyama,Fighting,474,144,120,60,40,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/hariyama.png,https://pokemondb.net/pokedex/hariyama,2024-02-24 15:05:21
0298,Azurill,"Normal, Fairy",190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/azurill.png,https://pokemondb.net/pokedex/azurill,2024-02-24 15:05:21
0299,Nosepass,Rock,375,30,45,135,45,90,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/nosepass.png,https://pokemondb.net/pokedex/nosepass,2024-02-24 15:05:21
0300,Skitty,Normal,260,50,45,45,35,35,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/skitty.png,https://pokemondb.net/pokedex/skitty,2024-02-24 15:05:21
0301,Delcatty,Normal,400,70,65,65,55,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/delcatty.png,https://pokemondb.net/pokedex/delcatty,2024-02-24 15:05:21
0302,Sableye,"Dark, Ghost",380,50,75,75,65,65,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye.png,https://pokemondb.net/pokedex/sableye,2024-02-24 15:05:21
0302,Mega Sableye,"Dark, Ghost",480,50,85,125,85,115,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye-mega.png,https://pokemondb.net/pokedex/sableye,2024-02-24 15:05:21
0303,Mawile,"Steel, Fairy",380,50,85,85,55,55,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile.png,https://pokemondb.net/pokedex/mawile,2024-02-24 15:05:21
0303,Mega Mawile,"Steel, Fairy",480,50,105,125,55,95,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile-mega.png,https://pokemondb.net/pokedex/mawile,2024-02-24 15:05:21
0304,Aron,"Steel, Rock",330,50,70,100,40,40,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/aron.png,https://pokemondb.net/pokedex/aron,2024-02-24 15:05:21
0305,Lairon,"Steel, Rock",430,60,90,140,50,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/lairon.png,https://pokemondb.net/pokedex/lairon,2024-02-24 15:05:21
0306,Aggron,"Steel, Rock",530,70,110,180,60,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron.png,https://pokemondb.net/pokedex/aggron,2024-02-24 15:05:21
0306,Mega Aggron,Steel,630,70,140,230,60,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron-mega.png,https://pokemondb.net/pokedex/aggron,2024-02-24 15:05:21
0307,Meditite,"Fighting, Psychic",280,30,40,55,40,55,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/meditite.png,https://pokemondb.net/pokedex/meditite,2024-02-24 15:05:21
0308,Medicham,"Fighting, Psychic",410,60,60,75,60,75,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham.png,https://pokemondb.net/pokedex/medicham,2024-02-24 15:05:21
0308,Mega Medicham,"Fighting, Psychic",510,60,100,85,80,85,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham-mega.png,https://pokemondb.net/pokedex/medicham,2024-02-24 15:05:21
0309,Electrike,Electric,295,40,45,40,65,40,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrike.png,https://pokemondb.net/pokedex/electrike,2024-02-24 15:05:21
0310,Manectric,Electric,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric.png,https://pokemondb.net/pokedex/manectric,2024-02-24 15:05:21
0310,Mega Manectric,Electric,575,70,75,80,135,80,135,https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric-mega.png,https://pokemondb.net/pokedex/manectric,2024-02-24 15:05:21
0311,Plusle,Electric,405,60,50,40,85,75,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/plusle.png,https://pokemondb.net/pokedex/plusle,2024-02-24 15:05:21
0312,Minun,Electric,405,60,40,50,75,85,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/minun.png,https://pokemondb.net/pokedex/minun,2024-02-24 15:05:21
0313,Volbeat,Bug,430,65,73,75,47,85,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/volbeat.png,https://pokemondb.net/pokedex/volbeat,2024-02-24 15:05:21
0314,Illumise,Bug,430,65,47,75,73,85,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/illumise.png,https://pokemondb.net/pokedex/illumise,2024-02-24 15:05:21
0315,Roselia,"Grass, Poison",400,50,60,45,100,80,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/roselia.png,https://pokemondb.net/pokedex/roselia,2024-02-24 15:05:21
0316,Gulpin,Poison,302,70,43,53,43,53,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gulpin.png,https://pokemondb.net/pokedex/gulpin,2024-02-24 15:05:21
0317,Swalot,Poison,467,100,73,83,73,83,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/swalot.png,https://pokemondb.net/pokedex/swalot,2024-02-24 15:05:21
0318,Carvanha,"Water, Dark",305,45,90,20,65,20,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/carvanha.png,https://pokemondb.net/pokedex/carvanha,2024-02-24 15:05:21
0319,Sharpedo,"Water, Dark",460,70,120,40,95,40,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo.png,https://pokemondb.net/pokedex/sharpedo,2024-02-24 15:05:21
0319,Mega Sharpedo,"Water, Dark",560,70,140,70,110,65,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo-mega.png,https://pokemondb.net/pokedex/sharpedo,2024-02-24 15:05:21
0320,Wailmer,Water,400,130,70,35,70,35,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/wailmer.png,https://pokemondb.net/pokedex/wailmer,2024-02-24 15:05:21
0321,Wailord,Water,500,170,90,45,90,45,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/wailord.png,https://pokemondb.net/pokedex/wailord,2024-02-24 15:05:21
0322,Numel,"Fire, Ground",305,60,60,40,65,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/numel.png,https://pokemondb.net/pokedex/numel,2024-02-24 15:05:21
0323,Camerupt,"Fire, Ground",460,70,100,70,105,75,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/camerupt.png,https://pokemondb.net/pokedex/camerupt,2024-02-24 15:05:21
0323,Mega Camerupt,"Fire, Ground",560,70,120,100,145,105,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/camerupt-mega.png,https://pokemondb.net/pokedex/camerupt,2024-02-24 15:05:21
0324,Torkoal,Fire,470,70,85,140,85,70,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/torkoal.png,https://pokemondb.net/pokedex/torkoal,2024-02-24 15:05:21
0325,Spoink,Psychic,330,60,25,35,70,80,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/spoink.png,https://pokemondb.net/pokedex/spoink,2024-02-24 15:05:21
0326,Grumpig,Psychic,470,80,45,65,90,110,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/grumpig.png,https://pokemondb.net/pokedex/grumpig,2024-02-24 15:05:21
0327,Spinda,Normal,360,60,60,60,60,60,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/spinda.png,https://pokemondb.net/pokedex/spinda,2024-02-24 15:05:21
0328,Trapinch,Ground,290,45,100,45,45,45,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/trapinch.png,https://pokemondb.net/pokedex/trapinch,2024-02-24 15:05:21
0329,Vibrava,"Ground, Dragon",340,50,70,50,50,50,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/vibrava.png,https://pokemondb.net/pokedex/vibrava,2024-02-24 15:05:21
0330,Flygon,"Ground, Dragon",520,80,100,80,80,80,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/flygon.png,https://pokemondb.net/pokedex/flygon,2024-02-24 15:05:21
0331,Cacnea,Grass,335,50,85,40,85,40,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/cacnea.png,https://pokemondb.net/pokedex/cacnea,2024-02-24 15:05:21
0332,Cacturne,"Grass, Dark",475,70,115,60,115,60,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/cacturne.png,https://pokemondb.net/pokedex/cacturne,2024-02-24 15:05:21
0333,Swablu,"Normal, Flying",310,45,40,60,40,75,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/swablu.png,https://pokemondb.net/pokedex/swablu,2024-02-24 15:05:21
0334,Altaria,"Dragon, Flying",490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/altaria.png,https://pokemondb.net/pokedex/altaria,2024-02-24 15:05:21
0334,Mega Altaria,"Dragon, Fairy",590,75,110,110,110,105,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/altaria-mega.png,https://pokemondb.net/pokedex/altaria,2024-02-24 15:05:21
0335,Zangoose,Normal,458,73,115,60,60,60,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/zangoose.png,https://pokemondb.net/pokedex/zangoose,2024-02-24 15:05:21
0336,Seviper,Poison,458,73,100,60,100,60,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/seviper.png,https://pokemondb.net/pokedex/seviper,2024-02-24 15:05:21
